name,symbol,current_price,market_cap,total_volume
Bitcoin,btc,66743.0,1335514946980,40707865884
Ethereum,eth,2034.41,245530560170,18370074412
Tether,usdt,0.999269,184086649498,65948329044
BNB,bnb,611.33,83360851785,1031560991
XRP,xrp,1.33,81527558444,2186444566
USDC,usdc,0.999709,77419352233,8019326693
Solana,sol,82.84,47428927162,3826557358
TRON,trx,0.320058,30324068624,687258764
Figure Heloc,figr_heloc,1.004,16312735088,624149861
Dogecoin,doge,0.091076,13983881713,1272187599
